"","year","month","max_t","min_t","days","rain","sun"
"773",1947,5,18.2,8.5,0,56.8,151.3
"774",1947,6,19.8,11.7,0,68.4,168.6
"775",1947,7,20.6,13.6,0,32.8,116.7
"776",1947,8,23.9,13.3,0,12.7,239
"777",1947,9,18.8,11.1,0,35.5,145.5
"778",1947,10,14.6,8.2,0,14,83.1
"779",1947,11,9.8,4.7,5,72.6,89.2
"780",1947,12,7.6,3.4,6,94,22.8
"781",1948,1,7.2,2.6,1,165.3,32.4
"782",1948,2,6.5,2.3,8,59,34.8
"783",1948,3,12.4,4,2,26.1,131.2
"784",1948,4,12.9,4.9,0,42.1,154.7
"785",1948,5,15.9,6.5,0,38.4,216.8
"786",1948,6,16.9,9.7,0,72.5,151.8
"787",1948,7,19.7,11.7,0,24.2,171.6
"788",1948,8,18.5,11.5,0,118.9,108
"789",1948,9,16.7,10.8,0,37.4,101
"790",1948,10,13.4,7.2,0,37.1,78.3
"791",1948,11,10.6,4.9,3,28,62.9
"792",1948,12,7.9,3,5,87.6,33
"793",1949,1,7.8,3,3,34.4,48
"794",1949,2,8.9,2.8,5,38.4,96
"795",1949,3,7.2,1.9,8,32.5,90.3
"796",1949,4,13.7,6,0,66.4,148.3
"797",1949,5,15.6,6.7,0,41,225.2
"798",1949,6,20.2,9.9,0,13.3,227.1
"799",1949,7,21.6,12.7,0,114.8,170.4
"800",1949,8,21.1,12.5,0,41.6,181
"801",1949,9,19.9,12.3,0,28,126.9
"802",1949,10,14.5,8.1,1,84.2,92.7
"803",1949,11,8.9,4,1,112.9,46.8
"804",1949,12,8,3.3,0,105.7,35
"805",1950,1,6.4,2.3,9,35.7,15.8
"806",1950,2,8,1.8,5,147.9,65.6
"807",1950,3,11.4,4,1,25.5,114.2
"808",1950,4,10.7,3.4,1,78,141.4
"809",1950,5,13.9,6.8,0,38.9,112.7
"810",1950,6,21.1,11.4,0,28.4,248.8
"811",1950,7,19.9,12.2,0,43.1,184.2
"812",1950,8,19.8,11.8,0,84.6,160.9
"813",1950,9,16.1,9.6,0,87.1,106.4
"814",1950,10,12.6,7,0,35.4,90.5
"815",1950,11,8.1,3.3,2,119.3,34.5
"816",1950,12,3.2,-0.3,16,50.6,36.1
"817",1951,1,5.9,1.6,8,68.8,41.7
"818",1951,2,5.7,1,2,92.4,41.1
"819",1951,3,6.5,0.9,7,102.5,75.7
"820",1951,4,10.3,3.4,0,31.8,146.1
"821",1951,5,13,5.8,0,100.6,118.2
"822",1951,6,17.9,9.4,0,14.7,206.8
"823",1951,7,20.6,12.3,0,32.9,184.9
"824",1951,8,18.4,11.2,0,133.1,143.7
"825",1951,9,17.7,10.7,0,45.1,113.5
"826",1951,10,13.5,6.5,0,23.7,96.3
"827",1951,11,10.6,6,0,199.2,50.9
"828",1951,12,8.2,2.6,4,92.9,38.8
"829",1952,1,5,0.7,7,89.9,52.9
"830",1952,2,6.4,0.9,11,19.7,60.5
"831",1952,3,9,3.5,5,57,61.8
"832",1952,4,13.7,5.4,0,40.8,140.7
"833",1952,5,17.6,9,0,74.4,173.9
"834",1952,6,18.4,10.3,0,37.4,192.8
"835",1952,7,19.9,12.9,0,32.6,137.4
"836",1952,8,19.9,12,0,37,160.3
"837",1952,9,13.7,8.1,0,70,77.3
"838",1952,10,11.8,6.2,0,124.6,94.2
"839",1952,11,6.6,2.3,5,50.7,55.5
"840",1952,12,5.9,1.5,7,60.4,39.5
"841",1953,1,6.4,2.4,3,21.2,26.3
"842",1953,2,7.3,2.6,6,54.8,40.2
"843",1953,3,10.6,2,8,47.8,82.4
"844",1953,4,11,3.4,0,59.9,128.9
"845",1953,5,17.4,8.5,0,61.4,180
"846",1953,6,17.8,10.7,0,49.5,108.7
"847",1953,7,19.4,12,0,66.1,184.4
"848",1953,8,20.2,12.4,0,79.6,180.9
"849",1953,9,18,10.3,0,34.8,142.8
"850",1953,10,13.3,6.5,0,50.3,68.2
"851",1953,11,11.2,6.3,0,44,39.7
"852",1953,12,8.8,5,0,28.8,24.2
"853",1954,1,5.3,1,11,70.2,27.5
"854",1954,2,4.3,-0.2,11,74.5,40.5
"855",1954,3,8.6,2.4,3,61.4,90.4
"856",1954,4,11.7,4.1,0,7.6,120.4
"857",1954,5,14.9,7.4,0,93.8,104.4
"858",1954,6,16.4,9.9,0,57.2,117.5
"859",1954,7,17.4,10.9,0,49.2,126.9
"860",1954,8,17.7,11,0,166.7,98.8
"861",1954,9,16.4,9,0,58,161.4
"862",1954,10,14.9,9.2,0,78.7,80.5
"863",1954,11,9.6,4.1,0,170.7,48
"864",1954,12,8.8,4.3,2,95.8,31.5
"865",1955,1,4.8,0.5,12,60,31.7
"866",1955,2,3.5,-0.9,17,69.2,55
"867",1955,3,6.5,-0.1,17,88.1,106.5
"868",1955,4,13.5,5.9,0,19,137
"869",1955,5,12.9,5.7,0,85.5,181.5
"870",1955,6,17.2,9.3,0,85.9,121.8
"871",1955,7,22.9,12.8,0,30.8,231.4
"872",1955,8,22,13.5,0,19.3,139.2
"873",1955,9,18.4,11,0,18.4,150.6
"874",1955,10,13.3,6.5,2,60.4,130.3
"875",1955,11,9.7,5.2,0,67.2,30.8
"876",1955,12,8.1,2.9,6,96.4,32.7
"877",1956,1,6.2,1.5,7,154,38.8
"878",1956,2,3.1,-1.8,21,30.5,37.2
"879",1956,3,9.1,2.3,6,26.4,85.2
"880",1956,4,10.3,2.7,1,63.5,110.7
"881",1956,5,16.8,7.7,0,11.2,231.6
"882",1956,6,16.5,9.4,0,82.1,148.1
"883",1956,7,18.7,12.4,0,141.7,121.8
"884",1956,8,16.6,10.2,0,146.1,112.1
"885",1956,9,17.6,10.7,0,83.4,98.4
"886",1956,10,12.9,6.9,0,33.1,98.4
"887",1956,11,8.8,4.4,2,21.4,34.7
"888",1956,12,7.7,3.7,6,107.9,17.9
"889",1957,1,8.1,2.9,5,44.8,28.9
"890",1957,2,8,2,4,78.8,75.1
"891",1957,3,12.2,5.8,0,58.2,68.8
"892",1957,4,12.3,4.8,0,2.2,106.9
"893",1957,5,14.6,6.3,0,27.3,160.7
"894",1957,6,20.5,10.1,0,31.8,275.7
"895",1957,7,19.5,12.9,0,83.2,112.3
"896",1957,8,18.2,12,0,117.2,106.3
"897",1957,9,15.3,9.6,0,98.8,111.4
"898",1957,10,14.1,7.7,0,41.6,80.9
"899",1957,11,8.7,4.9,1,61.3,41.4
"900",1957,12,7.2,2.2,9,88.3,26
"901",1958,1,6.2,1.1,13,86.4,45.2
"902",1958,2,7.2,1.6,10,121.7,62.6
"903",1958,3,6.1,0.8,16,49.9,82.9
"904",1958,4,11.4,3.8,2,19.7,126.3
"905",1958,5,15.5,7.4,0,71.4,151.9
"906",1958,6,17.2,9.7,0,126.6,95
"907",1958,7,19.5,12.2,0,144.6,161
"908",1958,8,19.6,12.2,0,65.9,119.8
"909",1958,9,18.5,11.7,0,85.8,93.1
"910",1958,10,13.9,7.7,0,66.8,91.2
"911",1958,11,9.2,4.4,1,15.6,44.9
"912",1958,12,6.8,2.7,3,110,14.3
"913",1959,1,4.7,-0.2,18,89.7,68.2
"914",1959,2,7.6,2.7,5,2.2,49.7
"915",1959,3,10,4.3,0,38.4,72.7
"916",1959,4,13.2,5.9,0,88.5,139.2
"917",1959,5,17.5,8,0,26.7,194.6
"918",1959,6,20,10.9,0,30.7,227.8
"919",1959,7,22.2,13.1,0,33.5,215.8
"920",1959,8,22.4,13.2,0,18.8,201.4
"921",1959,9,20,10.6,0,0.6,146.2
"922",1959,10,16.4,8.3,0,57.4,108.2
"923",1959,11,9.3,4.5,2,106,36.6
"924",1959,12,8,3.4,0,116.8,18.1
"925",1960,1,6.2,1.9,6,137.7,23.7
"926",1960,2,6.5,1.2,11,77.9,55.4
"927",1960,3,8,3.1,1,52.1,44.9
"928",1960,4,13.4,5.5,0,38.9,147.8
"929",1960,5,17.6,8.8,0,46.4,166.2
"930",1960,6,21.7,11.5,0,41.4,261.8
"931",1960,7,19.1,11.4,0,64.8,131.3
"932",1960,8,19.1,11.4,0,80.6,143.2
"933",1960,9,16.8,9.9,0,108.7,111.4
"934",1960,10,12.4,7.5,0,179,48.1
"935",1960,11,9.6,4.7,0,116.2,44.3
"936",1960,12,6.5,2.3,4,91.5,47.1
"937",1961,1,5.4,1.1,6,96.1,27.4
"938",1961,2,9.6,4.2,0,63.1,67.9
"939",1961,3,13.1,5.4,0,14.3,142.5
"940",1961,4,13,6,0,84.1,85.5
"941",1961,5,14.5,6.9,0,42.9,170.1
"942",1961,6,19.2,10.4,0,33.9,199.7
"943",1961,7,18.8,11.3,0,55.7,161.4
"944",1961,8,19.3,11.8,0,62.2,187.2
"945",1961,9,19.3,11.3,0,53,133.5
"946",1961,10,13.9,7.7,0,94.9,118.7
"947",1961,11,8.7,4.1,1,42.3,53.5
"948",1961,12,5,-0.2,15,75.5,42.1
"949",1962,1,7.3,2.1,6,91.2,67.1
"950",1962,2,7,1.9,6,57.8,68.6
"951",1962,3,6,-0.6,17,27.8,116.7
"952",1962,4,11.1,3.9,0,76.3,138.1
"953",1962,5,13.6,6.2,0,78.4,149.9
"954",1962,6,18.3,9.3,0,13.5,206.6
"955",1962,7,17.8,10.8,0,39.7,99.5
"956",1962,8,17.8,10.8,0,94.9,145.6
"957",1962,9,16,9.3,0,84.4,87.4
"958",1962,10,13.9,7.4,1,32,85.8
"959",1962,11,7.8,2.9,6,38.5,31.3
"960",1962,12,5.3,-0.6,15,54.1,46.5
"961",1963,1,1.3,-2.9,28,46.8,39.4
"962",1963,2,1.4,-3.5,28,28.3,41.9
"963",1963,3,8.9,1.6,6,72,93.8
"964",1963,4,11.7,4.4,0,60.3,79.5
"965",1963,5,14.6,6.4,0,31.5,155.1
"966",1963,6,19.3,10.3,0,99.1,179.9
"967",1963,7,19.7,11,0,68.6,173.3
"968",1963,8,17.6,10.6,0,60.1,88.5
"969",1963,9,16.9,9.2,0,79.5,136.6
"970",1963,10,13.6,7.4,0,39.4,73.4
"971",1963,11,9.7,5.4,1,132.5,33.3
"972",1963,12,5.2,1,11,18.7,35.1
"973",1964,1,5.8,1,8,23.1,54.8
"974",1964,2,6.6,1.7,11,28.7,50.5
"975",1964,3,5.5,1.2,8,122.4,46.6
"976",1964,4,12.7,5.4,0,46.1,91.3
"977",1964,5,18.2,8.7,0,55.5,203
"978",1964,6,17,10.1,0,70.2,105.8
"979",1964,7,19.8,11.9,0,50.8,184.9
"980",1964,8,19.5,11.5,0,49.4,179.3
"981",1964,9,18.7,9.3,0,20.8,165.1
"982",1964,10,12.5,5.7,0,41.8,106.7
"983",1964,11,9.8,4.7,2,40.8,40.9
"984",1964,12,6.3,0.4,16,93.7,61.3
"985",1965,1,5.7,1.4,12,90.1,57.4
"986",1965,2,5.5,1.5,8,22.4,21.3
"987",1965,3,8.8,1,10,74,112
"988",1965,4,12,4.3,0,50,134.8
"989",1965,5,15.5,7.6,0,68.2,137.1
"990",1965,6,19,10.4,0,91.8,163.7
"991",1965,7,17,10.5,0,58.9,91.3
"992",1965,8,19,11.1,0,49.2,133.7
"993",1965,9,15.6,9.3,0,167.4,82.8
"994",1965,10,14.2,7.6,0,27.5,73.1
"995",1965,11,6.5,1.9,8,147.5,63.1
"996",1965,12,7,2,5,191.5,52.1
"997",1966,1,4.3,0.6,14,41.5,22.9
"998",1966,2,7.2,2.5,11,154.2,25.2
"999",1966,3,9.6,3.5,4,46.9,110.3
"1000",1966,4,8.7,3.5,6,140.6,74.1
"1001",1966,5,15.7,7.2,0,58.8,209.2
"1002",1966,6,19.4,11.4,0,61.3,142.8
"1003",1966,7,18.4,11.5,0,44.5,130.8
"1004",1966,8,18.8,10.8,0,92.9,124.6
"1005",1966,9,17.6,10.2,0,55.7,107.8
"1006",1966,10,12.8,6.7,0,101.4,66.1
"1007",1966,11,7.8,3.5,0,93.9,41.1
"1008",1966,12,7.5,2.7,3,77.3,36.1
"1009",1967,1,6.3,1.8,11,49.7,66.3
"1010",1967,2,7.7,3.1,3,70.9,52.2
"1011",1967,3,10.2,4.2,1,57.8,165.4
"1012",1967,4,11.2,4.5,1,32.7,85.8
"1013",1967,5,13.9,6.4,1,172.6,142.1
"1014",1967,6,19.5,10.2,0,13.7,212.8
"1015",1967,7,21.5,12.8,0,40.9,178
"1016",1967,8,20,12,0,70.3,117.8
"1017",1967,9,17,9.5,0,62.5,88.4
"1018",1967,10,13.9,7.7,0,115.5,110.4
"1019",1967,11,8.1,2.3,6,71.4,50.4
"1020",1967,12,6.7,2,11,44.7,52.8
"1021",1968,1,6.7,1.9,11,67.4,36.1
"1022",1968,2,4.4,-0.4,17,42.8,60.5
"1023",1968,3,9.7,3.2,5,61.3,98.2
"1024",1968,4,12.9,3.9,9,54.2,152.3
"1025",1968,5,13.7,5.9,0,82.8,100.9
"1026",1968,6,19.5,10.3,0,54.9,174.1
"1027",1968,7,18.2,11.5,0,112.5,69.9
"1028",1968,8,19.4,11.8,0,41.8,99.9
"1029",1968,9,17.2,10.6,0,155.2,74.1
"1030",1968,10,15,9.8,0,63.5,63.8
"1031",1968,11,8,4.2,1,87.3,29.6
"1032",1968,12,5,1.2,9,52.9,28.3
"1033",1969,1,7.8,3,7,85,28.8
"1034",1969,2,2.5,-1.5,20,101,63.5
"1035",1969,3,4.7,0,19,119.9,48.1
"1036",1969,4,11.2,3.4,1,76.1,147.5
"1037",1969,5,14.6,7.4,0,99.1,99.2
"1038",1969,6,18.8,9.3,0,62.5,253.4
"1039",1969,7,21.5,12.9,0,52.6,227.3
"1040",1969,8,19.9,12.6,0,48.5,129
"1041",1969,9,17.3,10.5,0,38.9,75.4
"1042",1969,10,15.9,9.6,0,24.7,76.9
"1043",1969,11,7.5,2.2,5,163.7,61.5
"1044",1969,12,5.8,1.6,13,72.7,30.5
"1045",1970,1,5.7,1.5,8,94.7,36.8
"1046",1970,2,5.5,0.1,11,104,88.5
"1047",1970,3,6.6,0.8,13,55.4,114.6
"1048",1970,4,10.4,3.4,4,106.6,137.2
"1049",1970,5,17.4,8.5,0,16.9,160.2
"1050",1970,6,21.8,11.2,0,24.2,238.9
"1051",1970,7,19,11.9,0,39.2,153.3
"1052",1970,8,20.4,12.2,0,72.9,137.6
"1053",1970,9,18.3,11.2,0,42.8,122.6
"1054",1970,10,14.1,7.5,0,47.9,101
"1055",1970,11,9.6,5.1,1,141.4,48.4
"1056",1970,12,6.2,2.6,6,40.6,45.7
"1057",1971,1,6.6,2.3,8,69.3,39.9
"1058",1971,2,7.6,2.6,3,26.7,63.3
"1059",1971,3,8.1,2.8,5,47.2,79.8
"1060",1971,4,11.1,4.3,0,84.1,70
"1061",1971,5,16.4,7,0,63.5,207.3
"1062",1971,6,15.6,8.8,0,69.4,131.5
"1063",1971,7,22.1,12.8,0,86.3,207.2
"1064",1971,8,19.4,11.8,0,102.2,121.1
"1065",1971,9,18.8,10.1,0,31.2,148
"1066",1971,10,15.3,8.1,0,92.8,139.3
"1067",1971,11,9.1,3.7,4,62.6,78.5
"1068",1971,12,8.8,4.8,0,35.1,48.2
"1069",1972,1,5.7,1.6,8,92.7,38.7
"1070",1972,2,5.8,1.8,5,65.9,28.9
"1071",1972,3,9.9,2.5,4,106.2,118.6
"1072",1972,4,11.5,5.3,0,56.9,94.6
"1073",1972,5,14.4,6.8,0,56.6,135.4
"1074",1972,6,15.8,8.7,0,83.1,127.8
"1075",1972,7,19.5,11.6,0,55.7,148.4
"1076",1972,8,19.3,11.5,0,61.2,180.8
"1077",1972,9,15.1,8.5,0,50.6,80.4
"1078",1972,10,13.5,7,0,14.5,61.7
"1079",1972,11,9.2,4.5,1,84.9,68.6
"1080",1972,12,7.6,2.9,0,80.3,22.7
"1081",1973,1,6.7,2.8,5,39.8,26.7
"1082",1973,2,7.4,2.1,9,65,91.7
"1083",1973,3,10.6,3.6,0,15.1,127.3
"1084",1973,4,10.6,3.5,2,77.5,142.1
"1085",1973,5,15.5,7.4,0,59.5,150.6
"1086",1973,6,20,10.8,0,44,204.2
"1087",1973,7,19.7,12.1,0,200.6,115.6
"1088",1973,8,20.7,12.1,0,58,161.9
"1089",1973,9,18,10.5,0,58.1,108.8
"1090",1973,10,12.2,6,1,63.3,82.2
"1091",1973,11,8.6,3.6,7,28.8,89.7
"1092",1973,12,7.3,2.4,7,51.6,41.8
"1093",1974,1,8.1,2.9,3,79.3,49.4
"1094",1974,2,8,3.1,0,67.3,55.5
"1095",1974,3,8.5,2.2,1,39.8,95
"1096",1974,4,11.6,3.6,0,12.3,120.5
"1097",1974,5,15.7,6.9,0,39.5,195.1
"1098",1974,6,17.7,9.8,0,48.5,184.3
"1099",1974,7,18.7,11.7,0,67.6,164
"1100",1974,8,19.5,11.5,0,81,180.1
"1101",1974,9,15.7,8.8,0,90.8,138.7
"1102",1974,10,10,5.3,0,55.9,89.6
"1103",1974,11,8.7,3.7,1,121.1,47.5
"1104",1974,12,9.9,5.1,2,71.1,43.2
"1105",1975,1,8.9,3.8,1,73.2,32.2
"1106",1975,2,6.5,1.6,8,15.8,25
"1107",1975,3,7,1.7,7,58.8,89.4
"1108",1975,4,12.2,5.1,4,46.9,132.8
"1109",1975,5,13.8,5.6,0,86.2,187.9
"1110",1975,6,20.1,9.7,0,11.9,253.2
"1111",1975,7,21.7,13.2,0,81.9,170.9
"1112",1975,8,24.6,14.1,0,51.2,236.1
"1113",1975,9,17.3,9.5,0,34.6,138.5
"1114",1975,10,13.4,6.5,0,27.2,91.2
"1115",1975,11,8.8,3.3,3,28.6,70.6
"1116",1975,12,8.2,3.4,4,43,49.8
"1117",1976,1,7.6,3.2,8,93.8,41.4
"1118",1976,2,6.7,2.1,8,33.7,45
"1119",1976,3,7.8,1.4,8,29.5,108.8
"1120",1976,4,11.7,4.4,2,16.2,116.1
"1121",1976,5,15.8,7.9,0,79.9,148.6
"1122",1976,6,22.3,12,0,16.6,250.2
"1123",1976,7,24,13.2,0,16.9,285.2
"1124",1976,8,23,11.9,0,17.3,215.6
"1125",1976,9,16.4,9.6,0,134.9,85.5
"1126",1976,10,13,7.5,0,127.7,58.7
"1127",1976,11,8.6,3.2,1,32.4,58.7
"1128",1976,12,3.7,0.3,10,75.3,55.2
"1129",1977,1,4.6,0.4,12,113.8,45.9
"1130",1977,2,6.3,1.5,6,201.4,53.5
"1131",1977,3,9.5,3.4,3,59.7,79
"1132",1977,4,10.6,3.6,2,45,179.3
"1133",1977,5,14.6,6.1,0,43.5,207.6
"1134",1977,6,16.4,8.3,0,66.4,182
"1135",1977,7,19.6,11.9,0,9.5,178.3
"1136",1977,8,19.4,11.7,0,69.2,137.7
"1137",1977,9,16.6,9.7,0,35.2,108.8
"1138",1977,10,14,8.4,0,45.4,87.4
"1139",1977,11,8.4,3.4,5,112,80.9
"1140",1977,12,7.5,3.6,1,82.5,30.7
"1141",1978,1,5.3,0.7,9,99.4,52.4
"1142",1978,2,4.4,-0.5,14,55.4,33.5
"1143",1978,3,10.1,3.3,1,73.2,142.5
"1144",1978,4,9.4,3,6,47.3,89.9
"1145",1978,5,16.1,7.1,0,34.7,180.7
"1146",1978,6,17.4,10,0,90,174.4
"1147",1978,7,18.3,10.9,0,58.8,150.7
"1148",1978,8,18.6,11.7,0,48.5,126.9
"1149",1978,9,17.2,11,0,48.8,126.2
"1150",1978,10,15.3,9.2,0,9.9,88.4
"1151",1978,11,11.3,6,4,50,71.4
"1152",1978,12,5,0.8,14,207.9,24.9
"1153",1979,1,2.5,-2.4,24,82.3,55.7
"1154",1979,2,2.6,-1.2,22,78.6,50.5
"1155",1979,3,6.9,1.7,6,148,88.9
"1156",1979,4,11,4.4,1,83.1,106
"1157",1979,5,14.4,6,1,115.5,158.8
"1158",1979,6,19.1,10.4,0,34.9,190
"1159",1979,7,20.4,12.2,0,13,169.8
"1160",1979,8,19.1,11.4,0,79,171.2
"1161",1979,9,17.6,9.6,0,25,166.9
"1162",1979,10,14.2,7.8,0,66.4,82.5
"1163",1979,11,9.6,3.9,2,96.9,54.9
"1164",1979,12,7.4,3.6,4,137.7,42.5
"1165",1980,1,4.4,0.4,13,70.9,47.4
"1166",1980,2,7.8,2.9,2,117.1,28.4
"1167",1980,3,7.4,1.9,6,100.1,87.8
"1168",1980,4,13.4,5.1,1,10.6,149.3
"1169",1980,5,16,6.1,0,20.5,214.2
"1170",1980,6,17.9,10.3,0,132.8,114.8
"1171",1980,7,18.5,11,0,66.9,130
"1172",1980,8,19.8,12,0,79,155.9
"1173",1980,9,18.6,11.4,0,33.2,151.5
"1174",1980,10,11.9,5.6,0,113.2,93.7
"1175",1980,11,8.7,4.4,5,81.8,41.5
"1176",1980,12,8.4,3.2,4,51.7,48.9
"1177",1981,1,7.5,2.1,7,56.4,47.8
"1178",1981,2,5.3,0.5,12,89.4,55.6
"1179",1981,3,10.1,4.8,0,149.9,51.3
"1180",1981,4,10.6,4.2,1,110.5,112.6
"1181",1981,5,15.6,7.6,0,65.3,149
"1182",1981,6,17.3,9.9,0,33.4,163.7
"1183",1981,7,19.6,12.2,0,18.8,172.6
"1184",1981,8,20.5,12.4,0,57.2,174.7
"1185",1981,9,19.2,10.7,0,107.8,162.2
"1186",1981,10,11.4,5.2,0,87.9,112
"1187",1981,11,10.4,4.9,0,70.4,41.1
"1188",1981,12,2.6,-2.3,21,93.6,37.4
"1189",1982,1,5.9,-0.3,14,39.9,48.2
"1190",1982,2,7.4,2.1,7,20.4,33
"1191",1982,3,9.7,2.8,1,100.1,131.7
"1192",1982,4,13.5,4.8,2,17.3,167.1
"1193",1982,5,17.1,6.7,0,23.6,238.9
"1194",1982,6,18.9,11.2,0,225,120.7
"1195",1982,7,20.9,12.5,0,14.7,173
"1196",1982,8,19.6,12,0,83.5,172.7
"1197",1982,9,18.7,10.5,0,56.4,148.5
"1198",1982,10,13.1,7.2,0,54.7,55.1
"1199",1982,11,10,5.4,1,117.5,38.6
"1200",1982,12,6.9,1.8,9,78.7,22.6
"1201",1983,1,9,4,3,98.7,42.8
"1202",1983,2,3.5,-0.8,17,39.9,35.3
"1203",1983,3,9.3,4,0,65.7,85.4
"1204",1983,4,10.1,3.2,1,121.2,115.3
"1205",1983,5,13.6,6.4,0,127,101.6
"1206",1983,6,18,9.9,0,7.6,171
"1207",1983,7,24.5,14.3,0,44.4,187.1
"1208",1983,8,22.1,12.6,0,31.3,207.7
"1209",1983,9,16.8,10.2,0,120.1,116.9
"1210",1983,10,13.6,7.3,2,66.9,84.1
"1211",1983,11,9.9,5.5,5,41.2,29
"1212",1983,12,8.2,3.4,4,142.2,37.9
"1213",1984,1,5.6,0.8,10,160.2,37.6
"1214",1984,2,5.8,0.6,12,79.7,42.3
"1215",1984,3,7.3,2.2,3,52.3,44.9
"1216",1984,4,13.3,3.5,5,10,205.7
"1217",1984,5,14.9,5.9,1,55.4,158.4
"1218",1984,6,19.1,10.5,0,40.9,219.3
"1219",1984,7,22.4,12,0,13.3,258.2
"1220",1984,8,22.5,12.6,0,81.9,183
"1221",1984,9,16.7,10.4,0,117.6,86.1
"1222",1984,10,14.3,7.7,0,82.7,75.6
"1223",1984,11,9.8,5.7,0,124.9,33.7
"1224",1984,12,7.3,2.4,8,47.6,39.1
"1225",1985,1,3.7,-0.8,19,73,26.3
"1226",1985,2,5.7,-0.3,14,4.6,58.2
"1227",1985,3,8.2,1.7,8,48.8,105.1
"1228",1985,4,11.6,4.8,2,69.5,111.7
"1229",1985,5,14.4,6.8,0,63.4,139.2
"1230",1985,6,16.8,8.6,0,76.5,179.8
"1231",1985,7,20.4,12.7,0,46.4,182.2
"1232",1985,8,18.4,11.3,0,87.9,158
"1233",1985,9,18.8,11,0,14.2,125.5
"1234",1985,10,14.4,8.7,0,33.6,64.3
"1235",1985,11,6.6,1.4,10,78.2,50.2
"1236",1985,12,8.2,4,6,78,22.9
"1237",1986,1,5.4,0.6,12,174.1,39.2
"1238",1986,2,1,-3,25,37.2,43.3
"1239",1986,3,8.2,1.8,5,67.4,101.8
"1240",1986,4,9,2.3,3,111,81.7
"1241",1986,5,16,7.5,0,94.7,184.7
"1242",1986,6,19.3,9.8,0,48,202.2
"1243",1986,7,20,11.9,0,25.3,175.2
"1244",1986,8,17.1,9.7,0,109.9,132.3
"1245",1986,9,16.1,7.6,0,9.5,182.1
"1246",1986,10,14.3,7.3,0,85.7,111.2
"1247",1986,11,10.6,4.7,0,93,57.9
"1248",1986,12,8.5,3.2,1,142.3,32.1
"1249",1987,1,3.4,-1.1,18,52.9,37.6
"1250",1987,2,6.7,1,11,35.1,52.3
"1251",1987,3,7.3,1.2,14,89.2,110.5
"1252",1987,4,14.6,6.1,0,64.6,156.6
"1253",1987,5,14.6,5.9,0,32.6,199.2
"1254",1987,6,16.5,9,0,140,123.1
"1255",1987,7,19.8,12.2,0,51.4,168
"1256",1987,8,19.7,12.2,0,45.1,149.3
"1257",1987,9,17.4,9.3,0,67.2,152.3
"1258",1987,10,12.5,6,0,119.5,77.6
"1259",1987,11,8.5,4.1,3,53.5,43.4
"1260",1987,12,7.9,3.8,5,38.2,15.5
"1261",1988,1,7.2,2.5,3,173.9,37.7
"1262",1988,2,7.3,2.2,4,81,94.7
"1263",1988,3,9.3,2.8,6,97.3,104.6
"1264",1988,4,11.6,5,1,44.1,90.6
"1265",1988,5,16.2,7.1,0,50.4,194
"1266",1988,6,18.9,10.8,0,55.9,146.2
"1267",1988,7,18.6,11.6,0,106.7,154
"1268",1988,8,19.5,11.7,0,78.6,180.9
"1269",1988,9,16.5,9.7,0,51.7,163.7
"1270",1988,10,13,7.1,2,88.9,75.6
"1271",1988,11,9,2.6,8,50.5,68.6
"1272",1988,12,9.8,5.4,0,36,35.7
"1273",1989,1,9,3.9,2,20.6,54.3
"1274",1989,2,9.1,2.9,3,75.3,93.1
"1275",1989,3,11,3.9,2,77.7,126.6
"1276",1989,4,9.6,2.7,3,115.5,107.8
"1277",1989,5,18.4,8.2,0,26,283.8
"1278",1989,6,20.2,10,0,54.1,255.5
"1279",1989,7,22.9,13.1,0,41.4,284.9
"1280",1989,8,21.1,12,0,36.2,240.5
"1281",1989,9,18.5,10.6,0,23.3,135.1
"1282",1989,10,14.9,8.5,0,65.3,85.1
"1283",1989,11,9,4,3,42.6,45.3
"1284",1989,12,6.7,2.8,4,159.1,12.9
"1285",1990,1,8.9,3.9,0,128.7,46.4
"1286",1990,2,9.7,4.4,1,115.2,58.5
"1287",1990,3,12.4,5.3,3,21.6,137.6
"1288",1990,4,13.1,3.9,3,25.9,201.6
"1289",1990,5,18.1,7.7,0,18.9,219.2
"1290",1990,6,17.6,10.4,0,46.4,112.1
"1291",1990,7,22.1,11.9,0,21.5,273.8
"1292",1990,8,23.1,13.8,0,40.8,233.4
"1293",1990,9,16.7,9.6,0,30.4,127.5
"1294",1990,10,14.4,8.6,0,129.7,75.9
"1295",1990,11,8.8,4.9,0,47.9,32.3
"1296",1990,12,6.7,2.6,5,136,24.3
"1297",1991,1,5.5,0.1,14,86.8,53.3
"1298",1991,2,4.8,-0.3,16,68.5,45.1
"1299",1991,3,10.7,5.2,1,58.7,61
"1300",1991,4,11.4,4.5,2,67.2,129.3
"1301",1991,5,14.6,7.7,0,14.4,131.5
"1302",1991,6,15.8,8.5,0,68.6,153.8
"1303",1991,7,22.2,13.2,0,51.2,221.6
"1304",1991,8,21.9,12.8,0,8.5,221.1
"1305",1991,9,19.4,9.8,0,37,185.9
"1306",1991,10,12.9,7.7,0,54.3,68.2
"1307",1991,11,9.2,3.8,2,73.1,42.7
"1308",1991,12,7.9,2.6,7,78.4,28.5
"1309",1992,1,6.5,1,13,43.6,37.1
"1310",1992,2,8.9,2.9,5,25.9,52.7
"1311",1992,3,10.3,4,0,73.6,73.9
"1312",1992,4,12.3,5.3,0,41.8,125
